Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210517,S92000003,Total,"",Dose 1,9416,"",3055688,"",All vaccinations
20210517,S92000003,Total,4439078,Dose 1,9343,0.210471633974442,3048068,68.6644388767217,18 years and over
20210517,S92000003,Total,2875396,Dose 1,6572,0.228559822716593,2650215,92.1686960682981,40 years and over
20210517,S92000003,Total,4549217,Dose 1,9415,0.206958692012274,3055630,67.168262142694,16 years and over
20210517,S92000003,Total,"",Dose 2,32010,"",1690137,"",All vaccinations
20210517,S92000003,Total,4439078,Dose 2,31902,0.718662749336687,1688007,38.0260720807339,18 years and over
20210517,S92000003,Total,2875396,Dose 2,25862,0.899423940215539,1511615,52.57067200483,40 years and over
20210517,S92000003,Total,4549217,Dose 2,32010,0.70363757103695,1690127,37.1520417689462,16 years and over
20210518,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,6843,"",1991259,"",All vaccinations
20210518,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,31577,"",903878,"",All vaccinations
20210518,S92000003,Moderna (Spikevax),"",Dose 1,56,"",18059,"",All vaccinations
20210518,S92000003,Moderna (Spikevax),"",Dose 2,1,"",9,"",All vaccinations
20210518,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,4849,"",1058118,"",All vaccinations
20210518,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,3086,"",820914,"",All vaccinations
20210518,S92000003,Total,"",Dose 1,11748,"",3067436,"",All vaccinations
20210518,S92000003,Total,4439078,Dose 1,11667,0.262824847862552,3059735,68.9272637245843,18 years and over
20210518,S92000003,Total,2875396,Dose 1,7689,0.267406645901991,2657904,92.4361027142001,40 years and over
20210518,S92000003,Total,4549217,Dose 1,11748,0.258242242566138,3067378,67.4265043852602,16 years and over
20210518,S92000003,Total,"",Dose 2,34664,"",1724801,"",All vaccinations
20210518,S92000003,Total,4439078,Dose 2,34451,0.776084583330142,1722458,38.802156664064,18 years and over
20210518,S92000003,Total,2875396,Dose 2,28295,0.984038372453742,1539910,53.5547103772837,40 years and over
20210518,S92000003,Total,4549217,Dose 2,34664,0.761977280925487,1724791,37.9140190498717,16 years and over
