Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200303,S12000045,East Dunbartonshire,0,0,0,,0,0,0,3,24,22.068965517241377,4,0,0,,4,0,0,0
20200303,S12000047,Fife,0,0,0,,0,0,0,11,93,24.857669793921897,13,0,0,,13,0,0,0
20200303,S12000048,Perth and Kinross,0,0,0,,0,0,0,8,36,23.69824238035679,13,0,0,,13,0,0,0
20200303,S12000049,Glasgow City,0,0,0,,0,0,0,38,151,23.755584922283052,46,0,0,,46,0,0,0
20200303,S12000050,North Lanarkshire,0,0,0,,0,0,0,6,56,16.415547868910124,13,0,0,,13,0,0,0
20200304,S12000005,Clackmannanshire,0,2,3.8993955936829794,,0,0,0,3,22,42.893351530512774,11,2,18.181818181818183,,11,0,2,0
20200304,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,9,55,37.089486816373324,11,0,0,,11,0,0,0
20200304,S12000008,East Ayrshire,0,0,0,,0,0,0,1,19,15.625,1,0,0,,1,0,0,0
20200304,S12000010,East Lothian,0,0,0,,0,0,0,4,26,24.096385542168672,5,0,0,,5,0,0,0
20200304,S12000011,East Renfrewshire,0,0,0,,0,0,0,6,17,17.697272537997087,8,0,0,,8,0,0,0
20200304,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,1,2,7.547169811320755,1,0,0,,1,0,0,0
20200304,S12000014,Falkirk,1,1,0.6228201295465869,,0,0,0,9,59,36.74638764324863,14,2,14.285714285714285,,14,0,2,0
20200304,S12000017,Highland,0,0,0,,0,0,0,7,41,17.41494287049229,7,0,0,,7,0,0,0
20200304,S12000018,Inverclyde,0,0,0,,0,0,0,1,19,24.656112120425643,1,0,0,,1,0,0,0
20200304,S12000019,Midlothian,0,0,0,,0,0,0,1,28,30.059044551798177,2,0,0,,2,0,0,0
20200304,S12000020,Moray,1,2,2.0896458050360462,,0,0,0,1,17,17.761989342806395,2,1,50,,2,0,1,0
20200304,S12000021,North Ayrshire,0,1,0.74487895716946,,0,0,0,7,33,24.58100558659218,12,1,8.333333333333332,,12,0,1,0
20200304,S12000023,Orkney Islands,0,0,0,,0,0,0,0,7,31.25,0,0,0,,0,0,0,0
20200304,S12000026,Scottish Borders,0,0,0,,0,0,0,3,37,32.10690732384589,3,0,0,,3,0,0,0
20200304,S12000027,Shetland Islands,0,0,0,,0,0,0,1,1,4.3725404459991255,1,0,0,,1,0,0,0
20200304,S12000028,South Ayrshire,0,0,0,,0,0,0,1,16,14.267879436418763,1,0,0,,1,0,0,0
20200304,S12000029,South Lanarkshire,0,0,0,,0,0,0,11,71,22.130789851006796,13,0,0,,13,0,0,0
20200304,S12000030,Stirling,0,0,0,,0,0,0,5,36,38.265306122448976,7,0,0,,7,0,0,0
20200304,S12000033,Aberdeen City,1,1,0.43656683838295646,,0,0,0,2,48,20.955208242381907,3,1,33.33333333333333,,3,0,1,0
20200304,S12000034,Aberdeenshire,0,1,0.3834649896464453,,0,0,0,2,49,18.789784492675818,2,0,0,,2,0,0,0
20200304,S12000035,Argyll and Bute,0,0,0,,0,0,0,1,9,10.534940887276132,1,0,0,,1,0,0,0
20200304,S12000036,City of Edinburgh,1,1,0.18953034380804368,,0,0,0,20,199,37.71653841780069,25,1,4,,25,0,1,0
20200304,S12000038,Renfrewshire,0,0,0,,0,0,0,7,42,23.412676291878032,10,0,0,,10,0,0,0
20200304,S12000039,West Dunbartonshire,0,1,1.1319900384876613,,0,0,0,8,30,33.95970115462984,11,0,0,,11,0,0,0
20200304,S12000040,West Lothian,0,0,0,,0,0,0,2,45,24.480470025024484,2,0,0,,2,0,0,0
20200304,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,3,37,31.94612329476774,3,0,0,,3,0,0,0
20200304,S12000042,Dundee City,0,0,0,,0,0,0,2,31,20.830533530439457,6,0,0,,6,0,0,0
20200304,S12000045,East Dunbartonshire,0,0,0,,0,0,0,3,27,24.82758620689655,8,0,0,,8,0,0,0
20200304,S12000047,Fife,2,2,0.5345735439553096,,0,0,0,1,94,25.124956565899556,3,2,66.66666666666666,,3,0,2,0
20200304,S12000048,Perth and Kinross,0,0,0,,0,0,0,4,40,26.331380422618658,11,0,0,,11,0,0,0
20200304,S12000049,Glasgow City,0,0,0,,0,0,0,41,192,30.205776854823487,53,0,0,,53,0,0,0
20200304,S12000050,North Lanarkshire,0,0,0,,0,0,0,8,64,18.760626135897287,13,0,0,,13,0,0,0
20200305,S12000005,Clackmannanshire,0,2,3.8993955936829794,3.8993955936829794,0,0,0,4,26,50.692142717878724,4,0,0,12.903225806451612,4,0,0,0
20200305,S12000006,Dumfries and Galloway,0,0,0,0,0,0,0,6,61,41.13561265088678,6,0,0,0,6,0,0,0
20200305,S12000008,East Ayrshire,0,0,0,0,0,0,0,7,26,21.38157894736842,7,0,0,0,7,0,0,0
20200305,S12000010,East Lothian,0,0,0,0,0,0,0,2,28,25.949953660797036,3,0,0,0,3,0,0,0
20200305,S12000011,East Renfrewshire,0,0,0,0,0,0,0,6,23,23.943368727878408,8,0,0,0,8,0,0,0
20200305,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,0,2,7.547169811320755,2,0,0,,2,0,0,0
20200305,S12000014,Falkirk,0,1,0.6228201295465869,0.6228201295465869,0,0,0,7,66,41.106128550074736,10,0,0,2.8169014084507045,10,0,0,0
20200305,S12000017,Highland,0,0,0,0,0,0,0,6,47,19.963471095442383,7,0,0,0,7,0,0,0
20200305,S12000018,Inverclyde,0,0,0,0,0,0,0,4,23,29.846872566831042,6,0,0,0,6,0,0,0
20200305,S12000019,Midlothian,0,0,0,0,0,0,0,0,28,30.059044551798177,0,0,0,0,0,0,0,0
20200305,S12000020,Moray,0,2,2.0896458050360462,2.0896458050360462,0,0,0,0,17,17.761989342806395,6,1,16.666666666666664,17.647058823529413,6,0,1,0
20200305,S12000021,North Ayrshire,0,1,0.74487895716946,0.74487895716946,0,0,0,4,37,27.560521415270017,5,0,0,5.263157894736842,5,0,0,0
20200305,S12000023,Orkney Islands,0,0,0,0,0,0,0,0,7,31.25,0,0,0,0,0,0,0,0
