Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200305,S08000024,NHS Lothian,0,1,0.10959024208484476,0.10959024208484476,0,0,0,21,329,36.05518964591393,32,1,3.125,0.8333333333333334,32,0,,:,,:,1,0
20200305,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,5,22.32142857142857,0,0,0,0,0,0,,:,,:,0,0
20200305,S08000026,NHS Shetland,0,0,0,,0,0,0,1,2,8.745080891998251,2,0,0,,2,0,,:,,:,0,0
20200305,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,2,7.547169811320755,2,0,0,,2,0,,:,,:,0,0
20200305,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,8,101,26.995963969743137,9,0,0,3.3333333333333335,9,0,,:,,:,0,0
20200305,S08000030,NHS Tayside,0,1,0.24006721882126994,0.24006721882126994,0,0,0,12,132,31.688872884407633,30,2,6.666666666666667,7.5,30,0,,:,,:,2,0
20200305,S08000031,NHS Greater Glasgow and Clyde,1,2,0.16874219567345008,0.16874219567345008,0,0,0,68,397,33.49532584117984,91,2,2.197802197802198,0.9501187648456058,91,0,,:,,:,2,0
20200305,S08000032,NHS Lanarkshire,1,1,0.15106652969967974,0.15106652969967974,0,0,0,22,162,24.472777811348116,32,1,3.125,0.6369426751592357,32,0,,:,,:,1,0
20200305,S92000003,Scotland,2,15,0.27442371020856204,0.27442371020856204,0,0,0,182,1641,30.021953896816687,266,8,3.007518796992481,2.255109231853418,266,0,19,"",,:,8,0
20200306,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,0.27174651485094703,0,0,0,7,94,25.544172395989023,13,0,0,2.3529411764705883,13,0,,:,,:,0,0
20200306,S08000016,NHS Borders,0,0,0,0,0,0,0,5,43,37.3134328358209,5,0,0,0,5,0,,:,,:,0,0
20200306,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,17,78,52.599635848674886,19,0,0,0,19,0,,:,,:,0,0
20200306,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,17,149,48.703951884418004,38,2,5.263157894736842,5.161290322580645,38,0,,:,,:,2,0
20200306,S08000020,NHS Grampian,0,4,0.6831184356587824,0.6831184356587824,0,0,0,5,136,23.226026812398597,11,1,9.090909090909092,8.974358974358974,11,0,,:,,:,1,0
20200306,S08000022,NHS Highland,0,0,0,0,0,0,0,8,70,21.81636850963037,8,0,0,0,8,0,,:,,:,0,0
20200306,S08000024,NHS Lothian,2,3,0.3287707262545343,0.3287707262545343,0,0,0,26,355,38.90453594011989,37,3,8.108108108108109,2.2123893805309733,37,0,,:,,:,3,0
20200306,S08000025,NHS Orkney,0,0,0,0,0,0,0,2,7,31.25,2,0,0,0,2,0,,:,,:,0,0
20200306,S08000026,NHS Shetland,2,2,8.745080891998251,,0,0,0,0,2,8.745080891998251,2,2,100,,2,0,,:,,:,2,0
20200306,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,3,11.320754716981131,2,0,0,,2,0,,:,,:,0,0
